Byte_Value,Hex,Character,Count
0,0x0,N/A,0
1,0x1,N/A,0
2,0x2,N/A,0
3,0x3,N/A,0
4,0x4,N/A,0
5,0x5,N/A,0
6,0x6,N/A,0
7,0x7,N/A,0
8,0x8,N/A,0
9,0x9,N/A,0
10,0xa,N/A,38
11,0xb,N/A,0
12,0xc,N/A,0
13,0xd,N/A,0
14,0xe,N/A,0
15,0xf,N/A,0
16,0x10,N/A,0
17,0x11,N/A,0
18,0x12,N/A,0
19,0x13,N/A,0
20,0x14,N/A,0
21,0x15,N/A,0
22,0x16,N/A,0
23,0x17,N/A,0
24,0x18,N/A,0
25,0x19,N/A,0
26,0x1a,N/A,0
27,0x1b,N/A,0
28,0x1c,N/A,0
29,0x1d,N/A,0
30,0x1e,N/A,0
31,0x1f,N/A,0
32,0x20, ,271
33,0x21,!,1
34,0x22,"""",0
35,0x23,#,15
36,0x24,$,0
37,0x25,%,0
38,0x26,&,0
39,0x27,',2
40,0x28,(,7
41,0x29,),7
42,0x2a,*,44
43,0x2b,+,0
44,0x2c,",",11
45,0x2d,-,16
46,0x2e,.,50
47,0x2f,/,4
48,0x30,0,0
49,0x31,1,6
50,0x32,2,5
51,0x33,3,4
52,0x34,4,1
53,0x35,5,1
54,0x36,6,0
55,0x37,7,0
56,0x38,8,0
57,0x39,9,0
58,0x3a,:,12
59,0x3b,;,0
60,0x3c,<,0
61,0x3d,=,0
62,0x3e,>,0
63,0x3f,?,0
64,0x40,@,0
65,0x41,A,0
66,0x42,B,1
67,0x43,C,17
68,0x44,D,6
69,0x45,E,4
70,0x46,F,10
71,0x47,G,2
72,0x48,H,4
73,0x49,I,9
74,0x4a,J,0
75,0x4b,K,1
76,0x4c,L,4
77,0x4d,M,2
78,0x4e,N,5
79,0x4f,O,5
80,0x50,P,10
81,0x51,Q,0
82,0x52,R,3
83,0x53,S,6
84,0x54,T,11
85,0x55,U,3
86,0x56,V,4
87,0x57,W,1
88,0x58,X,0
89,0x59,Y,0
90,0x5a,Z,0
91,0x5b,[,4
92,0x5c,\,0
93,0x5d,],4
94,0x5e,^,0
95,0x5f,_,12
96,0x60,`,6
97,0x61,a,69
98,0x62,b,16
99,0x63,c,77
100,0x64,d,56
101,0x65,e,247
102,0x66,f,26
103,0x67,g,16
104,0x68,h,57
105,0x69,i,122
106,0x6a,j,0
107,0x6b,k,11
108,0x6c,l,49
109,0x6d,m,43
110,0x6e,n,115
111,0x6f,o,147
112,0x70,p,58
113,0x71,q,2
114,0x72,r,134
115,0x73,s,112
116,0x74,t,163
117,0x75,u,40
118,0x76,v,22
119,0x77,w,37
120,0x78,x,2
121,0x79,y,25
122,0x7a,z,1
123,0x7b,{,0
124,0x7c,|,0
125,0x7d,},0
126,0x7e,~,0
127,0x7f,N/A,0
128,0x80,N/A,0
129,0x81,N/A,0
130,0x82,N/A,0
131,0x83,N/A,0
132,0x84,N/A,0
133,0x85,N/A,0
134,0x86,N/A,0
135,0x87,N/A,0
136,0x88,N/A,0
137,0x89,N/A,0
138,0x8a,N/A,0
139,0x8b,N/A,0
140,0x8c,N/A,0
141,0x8d,N/A,0
142,0x8e,N/A,0
143,0x8f,N/A,0
144,0x90,N/A,0
145,0x91,N/A,0
146,0x92,N/A,0
147,0x93,N/A,0
148,0x94,N/A,0
149,0x95,N/A,0
150,0x96,N/A,0
151,0x97,N/A,0
152,0x98,N/A,0
153,0x99,N/A,0
154,0x9a,N/A,0
155,0x9b,N/A,0
156,0x9c,N/A,0
157,0x9d,N/A,0
158,0x9e,N/A,0
159,0x9f,N/A,0
160,0xa0,N/A,0
161,0xa1,N/A,0
162,0xa2,N/A,0
163,0xa3,N/A,0
164,0xa4,N/A,0
165,0xa5,N/A,0
166,0xa6,N/A,0
167,0xa7,N/A,0
168,0xa8,N/A,0
169,0xa9,N/A,0
170,0xaa,N/A,0
171,0xab,N/A,0
172,0xac,N/A,0
173,0xad,N/A,0
174,0xae,N/A,0
175,0xaf,N/A,0
176,0xb0,N/A,0
177,0xb1,N/A,0
178,0xb2,N/A,0
179,0xb3,N/A,0
180,0xb4,N/A,0
181,0xb5,N/A,0
182,0xb6,N/A,0
183,0xb7,N/A,0
184,0xb8,N/A,0
185,0xb9,N/A,0
186,0xba,N/A,0
